Company,Name,Designation,Subject
Mrs Ezhil  Arasi,Teaching Fellow,"Blockchain Technologies, cloud Security...",Department of Information Science and Technology
 Kanimozhi S,Teaching Fellow,"Computer Vision, Machine Intelligence...",Department of Information Science and Technology
Prof G V Uma,Professor,"Software Engineering, Software Testing, Software Q...",Department of Information Science and Technology
Dr Mala T,Professor,"Natural Language Processing, Computer Graphics, Mu...",Department of Information Science and Technology
Prof Dr.J. Indumathi,Professor,"Data Privacy, Information Security, Privacy Preser...",Department of Information Science and Technology
Dr S Abirami,Professor,"Image Processing, Natural Language Processing, Art...",Department of Information Science and Technology
Prof R Geetha Ramani,Professor,"Machine Learning, Data Mining, Artificial Intellig...",Department of Information Science and Technology
Prof P Yogesh,Professor,"Computer Networks, Mobile Computing, Multimedia Co...",Department of Information Science and Technology
Prof S Swamynathan,Professor,"Distributed Computing, Advanced Databases, Artific...",Department of Information Science and Technology
Prof Saswati Mukherjee,Professor,"Cloud Computing, Distributed System, Operating Sys...",Department of Information Science and Technology
Prof S Sridhar,Professor,"Image Processing, Medical Imaging, Data Mining, Al...",Department of Information Science and Technology
Prof K Vani,Professor,"Signal Processing, Image Processing, Remote Sensin...",Department of Information Science and Technology
Prof Ranjani Parthasarathi,Professor,"Computer Architecture, Multicore Computing, Reconf...",Department of Information Science and Technology
Dr M Vijayalakshmi,Professor,"Mobile Databases, Mobile Cloud Computing, Machine ...",Department of Information Science and Technology
Dr Sendhilkumar S,Professor,"Bibliometrics, Social Networks, Data Analytics, We...",Department of Information Science and Technology
Dr Bama Srinivasan,Associate Professor,Interest in Indian Philosophical Systems with Logi...,Department of Information Science and Technology
Dr K Vidya,Associate Professor,"Information Security, Data Analytics, Inter Domain...",Department of Information Science and Technology
Dr K Kulothungan,Associate Professor,"Computer Networks, Wireless Adhoc and Sensor Netwo...",Department of Information Science and Technology
Dr E Uma,Associate Professor,"Network Security and Forensics,
Block Chain,
Mac...",Department of Information Science and Technology
Dr N Thangaraj,Associate Professor,"Computer Networks, Internet of Things, Green Compu...",Department of Information Science and Technology
Dr P Geetha ,Associate Professor,"Information Retrieval, Theory of Compution, DBMS, ...",Department of Information Science and Technology
Dr K Indra Gandhi,Associate Professor,"Blockchain Technologies ,  Mobile Computing, Objec...",Department of Information Science and Technology
Dr Selvi Ravindran,Associate Professor,"Sensor Networks, Mobile Computing, Distributed and...",Department of Information Science and Technology
Dr S Anbuchelian,Associate Professor,"Wireless Sensor Networks, Computer Networks, Machi...",Department of Information Science and Technology
Dr G Geetha,Associate Professor,"Network Security , Block Chain,  Cloud Computing, ...",Department of Information Science and Technology
Dr Manimala K,Associate Professor,"Machine learning, Deep Learning, IOT, Soft Computi...",Department of Information Science and Technology
Dr Arul Deepa,Assistant Professor (Grade-I),"Natural Language Processing, machine Learning, Cyb...",Department of Information Science and Technology
Dr M. Deivamani,Assistant Professor,"Image Processing, Perception processing, Motion Pl...",Department of Information Science and Technology
